Hindi_raw,expected_outputs,model_prediction,is_correct
नहीं मैंने कुचली बोली थी,नहीं मैंने खुजली बोली थी,कोहनी में कुचली बोली रही है।,False
अचानक जर्दन में बेंठन-सी महसूस होती है।,अचानक गर्दन में ऐंठन-सी महसूस होती है।,अचानक जर्दन में बढ़ जाती है।,False
सुबह उठथे ही गर्दन में काफी जकड़न महसूस होथी है।,सुबह उठते ही गर्दन में काफी जकड़न महसूस होती है।,सुबह उठते ही गर्दन में काफी जकड़न महसूस होती है।,True
गाड़ी में सफर करने दे बाद गर्दन ज्याता जकड़ी हुई लगदी है।,गाड़ी में सफर करने के बाद गर्दन ज्यादा जकड़ी हुई लगती है।,खाना खाने के बाद गर्दन कम हो जाती है।,False
जकनड़ के साथ हल्का दर्द भी महसूस होथा है।,जकड़न के साथ हल्का दर्द भी महसूस होता है।,जकड़न के साथ हल्का दर्द भी महसूस होता है।,True
गर्दन हिलाने पर खिंचाब और कड़ाबन महसूस होता है।,गर्दन हिलाने पर खिंचाव और कड़ापन महसूस होता है।,गर्दन हिलाने पर खिंचाव और कड़ापन महसूस होता है।,True
मुझे अक्सर विना वजह घबराहत महसूस होती है।,मुझे अक्सर बिना वजह घबराहट महसूस होती है।,मुझे अक्सर बिना वजह घबराहट महसूस होती है।,True
थोड़ी सी बात पर दिल घवराने लगथा है।,थोड़ी सी बात पर दिल घबराने लगता है।,थोड़ी सी बात पर दिल घबराहट लगती है।,False
पीड़ या नए लोगों के बीच जाने पर बहुत घबराहट होने लगती है।,भीड़ या नए लोगों के बीच जाने पर बहुत घबराहट होने लगती है।,पीरियड्स के साथ जाँच पर बहुत घबराहट होने लगती है।,False
घबराहत में हाथ-पैर ठंडे पड़ जादे हैं।,घबराहट में हाथ-पैर ठंडे पड़ जाते हैं।,घबराहट में हाथ-पैर ठंड लग जाते हैं।,False
कोई कम शुरू करने से पहले ही पेचैनी होने लगती है।,कोई काम शुरू करने से पहले ही बेचैनी होने लगती है।,कोई कम शुरू करने से पहले ही पेच होने लगती है।,False
घबराहट होने पर पसीना पी ज्याता आने लगता है।,घबराहट होने पर पसीना भी ज्यादा आने लगता है।,घबराहट होने पर पसीना पीरियड्स आने लगता है।,False
घबराहट में ठीक से वात भी नहीं कर पाती।,घबराहट में ठीक से बात भी नहीं कर पाती।,घबराहट में ठीक से वात भी नहीं कर पाती।,False
कबी-कबी घबराहट इतनी बद जाती है कि कुछ भी करने का पन नहीं करता।,कभी-कभी घबराहट इतनी बढ़ जाती है कि कुछ भी करने का मन नहीं करता।,कभी-कभी घबराहट के कारण बदल जाती है।,False
"हाँ, पेट फूदा-फूदा और दर्द करता है।","हाँ, पेट फूला-फूला और दर्द करता है।",पेट फूला-फूला और दर्द करता है।,False
कल दो बार उल्ती हुई थी,कल दो बार उल्टी हुई थी,कल दो बार उल्टी हुई है।,False
