noisy_input,clean_output
मुषे फसली नें गस रहते हा।,मुझे पसली में गैस रहती है।
वययाम करमे पर कमज़ोर लगती है।,व्यायाम करने पर कमजोरी लगती है।
कळाई भें सजन ैह औलर खुजली भ तआी है।,कलाई में सूजन है और खुजली भी आती है।
ोपअर टखा भें ैश होनैरगी है।,दोपहर टखना में रैश होने लगती है।
मुझे हर्निया है और ठोड़ी में भख न लगना होता है।,मुझे हर्निया है और ठोड़ी में भूख न लगना होता है।
कमर ें डर्ड रहा हा।,कमर में दर्द रहता है।
मंशेपशीकी थबचो पर चत आटी है।,मांसपेशी की त्वचा पर चोट आती है।
गड़् दन गुमाने में दिक्कत है।,गर्दन घुमाने में दिक्कत है।
मुझे कूळहा मे उल्टी शूरू होटी है।,मुझे कूल्हा में उल्टी शुरू होती है।
होठ मं शूजऔन है और कमजोरजी भी अती है।,होंठ में सूजन है और कमजोरी भी रहती है।
रधी़ कीतअवाच लणकसील क हो झात है।,रीढ़ की त्वचा पर नकसीर कम हो जाती है।
झुकने पर पलक भें खिंचाव वढ़ जाता है।,झुकने पर पलक में खिंचाव बढ़ जाता है।
लिशड़ में रध्द ड़हतोहा।,शरीर में दर्द रहता है।
छाती मिं दबव महसूस गोता अै।,छाती में दबाव महसूस होता है।
पीठ मां अकड़न है।,पीठ में अकड़न है।
हुंठ प गे हैं।,होंठ फट रहे हैं।
गाना खनोे के बाद ठंड लगना शुरू होता है।,खाना खाने के बाद ठंड लगना शुरू होता है।
गाँसी में खून आता गै।,खाँसी में खून आता है।
मथ को छूने पर क़ाफि फोड़ा आतो है।,माथा को छूने पर काफी फोड़ा आता है।
डॉक्टर ने कहो साइनस है।,डॉक्टर ने कहा साइनस है।
ठद में रीढ़ मे संकअलमणघ शरू ोहदी है।,ठंड में रीढ़ में संक्रमण शुरू होती है।
मेरे काण मिं उल्टी और षनझनात डोोनं क़जमहो जाता हा।,मेरे कान में उल्टी और झनझनाहट दोनों कम हो जाता है।
कान में आभजाओ़ आती है।,कान में आवाज़ आती है।
कंधा भेंसूजन है और नकसीर भी रहकटीहनै।,कंधा में सूजन है और नकसीर भी रहती है।
चिड़चडि़ापन बड़ गया है।,चिड़चिड़ापन बढ़ गया है।
गाथ-पअै सुन हचोते अैं।,हाथ-पैर सुन्न हो जाते हैं।
िर मे रूसी हो गई है।,सिर में रूसी हो गई है।
टगना की त्वजा पर ढड़कन रहता है।,टखना की त्वचा पर धड़कन रहता है।
ैटनि गै बनट अा।,पेट में गैस बनती है।
जार की द्वच पल जम आती ैह।,जोड़ की त्वचा पर जलन आती है।
नठोक मैंगजम़ोरे गा कारण शंकरमभी बढ जादी अईै।,नाक में कमजोरी के कारण संक्रमण भी बढ़ जाती है।
मुे एड़ी में कब्ज भहसूस होता हि।,मुझे एड़ी में कब्ज महसूस होता है।
ुमजे कंाध मं चुन बड जाता है।,मुझे कंधा में चुभन बढ़ जाता है।
पीरिजठस् गके दुरन कान ड़हती हि।,पीरियड्स के दौरान थकान रहती है।
कोहईनी में सूजन अै।,कोहनी में सूजन है।
गला में ूजनहे औड़ छेलै भी आता ह।,गला में सूजन है और छाले भी आता है।
उगलियों मं झनषनऐाहट होती है।,उँगलियों में झनझनाहट होती है।
शौच में खून आता हैछ।,शौच में खून आता है।
फेसाब मेघंजलन अोडती है।,पेशाब में जलन होती है।
त्वचा पर खजुली होती अै।,त्वचा पर खुजली होती है।
झुकथ़ेन फर ड़ोंझय मेषंठका आीत ह।,झुकने पर जोड़ में थकान आती है।
छातरी में बदाव महशूस होता है।,छाती में दबाव महसूस होता है।
ठॉक्र ने काह पोइल्सहै।,डॉक्टर ने कहा पाइल्स है।
यादभदाशन्त कमजोर हो घ है।,याददाश्त कमजोर हो गई है।
चिड़छिड़ापन बढ़ गयो हैइ।,चिड़चिड़ापन बढ़ गया है।
खधे मे दर् है।,कंधे में दर्द है।
दस्त लग खए हैं।,दस्त लग गए हैं।
जँघ में सूजन हैऔर धट़कन भे ब़ढ जाती ह।,जाँघ में सूजन है और धड़कन भी बढ़ जाती है।
चेह रे पल दानि णिकलआए हंै।,चेहरे पर दाने निकल आए हैं।
मुझे अल्सर है औल तनका मेम कट सुरू होता है।,मुझे अल्सर है और टखना में कट शुरू होता है।
सिर में रूसी हो ग़ई है।,सिर में रूसी हो गई है।
डार मे गहा एसिडिटी है।,डॉक्टर ने कहा एसिडिटी है।
परवार में मइग्रने की सनस्या रही अै।,परिवार में माइग्रेन की समस्या रही है।
मुझे पसलीनेम चक्अकरए लगते है।,मुझे पसली में चक्कर लगता है।
घला नें कबअज गे कारण िलधर्द भी अोती है।,गला में कब्ज के कारण सिरदर्द भी होती है।
कभ ि-भ सेपेण ें हल् का थणका होथे है।,कभी-कभी से पेट में हल्का थकान होता है।
के भें गुर्डा से धसत कम हो ादीध है।,गर्मी में गुर्दा से दस्त कम हो जाती है।
पेतमें गैस बनदी है।,पेट में गैस बनती है।
थंड मैम छाी मऐेंसंक्रमण शुरूए गौमट गाठ।,ठंड में छाती में संक्रमण शुरू होती है।
शरीरमिम दड्त रहता है।,शरीर में दर्द रहता है।
मझे पैर में झनझनातब नहसूष होती है।,मुझे पैर में झनझनाहट महसूस होती है।
छलने पर बाल में जकड़नबनी रहत है।,चलने पर बाल में जकड़न बनी रहती है।
बैठनेक बोद ग़ाल में खुजली बनी रहती है।,बैठने के बाद गाल में खुजली बनी रहती है।
पावजह रोना आात ै।,बेवजह रोना आता है।
रज़ सा दिल में कम बेचैनी शोलू होथी है।,रोज़ से दिल में कम बेचैनी शुरू होती है।
गरी भें गाल से धड़कन लगि है।,गर्मी में गाल से धड़कन लगती है।
ैबठणे के बाद कहन में झनझनऔाहट लगती अै।,बैठने के बाद कोहनी में झनझनाहट लगती है।
दात मं दर्द है।,दाँत में दर्द है।
आँखों में जलद औ लालिमा है।,आँखों में जलन और लालिमा है।
चलने पर णथुना में चुभन बफणा रहदा है।,चलने पर नथुना में चुभन बना रहता है।
बपेशा महं जलद होटी है।,पेशाब में जलन होती है।
दुपहर िसय गला नां काफी ऐंठन बनारहता है।,दोपहर से गला में काफी ऐंठन बना रहता है।
मुझे बार-बार मतली जैशीनहषूस ोहती अि।,मुझे बार-बार मतली जैसी महसूस होती है।
खला बैठा हुआ ै।,गला बैठा हुआ है।
पसलीके आशपास दर्द और लगातार सपने आदेहै।,पसली के आसपास दर्द और लगातार पसीना आती है।
बल झढ़ रह है।,बाल झड़ रहे हैं।
जोड़ों मिं अकढ़न ैह।,जोड़ों में अकड़न है।
वजनअजानक क़म हो गयथा हा।,वजन अचानक कम हो गया है।
ाचत्व को ूछने पर काफी सून्नपम हता है।,त्वचा को छूने पर काफी सुन्नपन रहता है।
क़ाफी द्षत के साथ सुईन् नपन भी शुरू हफोती गै।,काफी दस्त के साथ सुन्नपन भी शुरू होती है।
त्वचा सूखी औरख़ुरदरी हो गई है।,त्वचा सूखी और खुरदरी हो गई है।
ग-फैर सुन्न हो झादे हैं।,हाथ-पैर सुन्न हो जाते हैं।
रीढप़ क आसपास गै औल ह्लका जो बढजाता है।,रीढ़ के आसपास गैस और हल्का चोट बढ़ जाता है।
घगड़म्ी में फिठ सेमथले बढ़इ जडाती है।,गर्मी में पीठ से मतली बढ़ जाती है।
चलना पणर नस में नगसीर कणम ो ाते है।,चलने पर नस में नकसीर कम हो जाती है।
मुझे मुंह में सिदल्द रअता है।,मुझे मुँह में सिरदर्द रहता है।
जँघ को छुमा पररुक-ड़ुख र नज कमटहो झाठदी िह।,जाँघ को छूने पर रुक-रुक कर मोच कम हो जाती है।
उँ लीईईां मएंे झनझनहेड होते हा।,उँगलियों में झनझनाहट होती है।
ाकन में आ़ आती गै।,कान में आवाज़ आती है।
जीभपर सफिद परत हे।,जीभ पर सफेद परत है।
कब्ज़ की समस्या हे।,कब्ज़ की समस्या है।
आवाज़ नीहं निकल रही।,आवाज़ नहीं निकल रही।
गाथ में घव के कारणसंक्रमण भी बढ़ जाता अै।,हाथ में घाव के कारण संक्रमण भी बढ़ जाता है।
भेरे डाणँत में ंठन और छींक दोनंो कमहो चाती हे।,मेरे दाँत में ऐंठन और छींक दोनों कम हो जाती है।
हर दिनसे नाक में काफी मतली बनी रहतभी ै।,हर दिन से नाक में काफी मतली बनी रहती है।
ेवजह ड़ान आथा ह।,बेवजह रोना आता है।
दवा लैने के बात भी जलन ड़तअी है।,दवा लेने के बाद भी जलन रहती है।
सुनन मछें दिगण्कत गोही अे।,सुनने में दिक्कत हो रही है।
व्याजाम करने बर भूख ण लगा लघत है।,व्यायाम करने पर भूख न लगना लगता है।
शुनने में देककत गो रह है।,सुनने में दिक्कत हो रही है।
फिश हो गया अै।,फिशर हो गया है।
डॉक्टर ेन कगा डायिटीज़़ है।,डॉक्टर ने कहा डायबिटीज़ है।
